epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5201,1.27758,2.54623,2.72139,1.60344,0.00333,1,0.995,0.78526,0.00333,1,0.995,0.86811,0.50937,0.89715,2.72206,0.95688,0.00024,0.00024,0.00024
2,82.848,0.54279,0.60914,1.70763,0.93827,0.00333,1,0.995,0.90102,0.00333,1,0.995,0.95911,0.35798,0.48383,2.57193,0.84818,0.00049505,0.00049505,0.00049505
3,92.4241,0.52007,0.42049,1.10648,0.92604,0.98014,1,0.99482,0.89338,0.98014,1,0.99482,0.95095,0.4855,1.00309,1.90962,0.96747,0.000744952,0.000744952,0.000744952
4,99.8588,0.53591,0.43584,0.89136,0.93731,0.99467,1,0.995,0.89197,0.99467,1,0.995,0.92473,0.50529,1.9577,1.535,0.95277,0.000989706,0.000989706,0.000989706
5,122.768,0.45137,0.35679,0.80538,0.90501,0.99196,1,0.995,0.8904,0.99196,1,0.995,0.977,0.50056,0.48595,1.72487,0.93748,0.00122931,0.00122931,0.00122931
6,131.499,0.46627,0.30419,0.74893,0.91379,0.99807,1,0.995,0.90165,0.99807,1,0.995,0.98812,0.46594,0.36451,1.0825,0.94508,0.00146377,0.00146377,0.00146377
7,139.192,0.50154,0.30744,0.7651,0.92364,0.96502,0.98522,0.99186,0.83136,0.96502,0.98522,0.99186,0.94925,0.54885,0.32371,1.23384,1.00228,0.00169308,0.00169308,0.00169308
8,147.16,0.47199,0.28641,0.68783,0.91592,0.99815,1,0.995,0.89191,0.99815,1,0.995,0.99154,0.45743,0.28798,0.8532,0.90583,0.0018614,0.0018614,0.0018614
9,156.665,0.45525,0.32172,0.629,0.88365,0.99847,1,0.995,0.90616,0.99847,1,0.995,0.995,0.43267,0.24774,0.83801,0.92334,0.0018416,0.0018416,0.0018416
10,166.546,0.44376,0.25802,0.5876,0.89077,0.99728,1,0.995,0.9202,0.99728,1,0.995,0.96189,0.39844,0.49908,0.70854,0.85375,0.0018218,0.0018218,0.0018218
11,175.964,0.40349,0.24848,0.54018,0.89637,0.99414,0.98214,0.99482,0.92545,0.99414,0.98214,0.99482,0.99174,0.37981,0.22077,0.70116,0.85377,0.001802,0.001802,0.001802
12,185.719,0.39929,0.24867,0.52476,0.8832,0.99468,0.96429,0.99226,0.90334,0.99468,0.96429,0.99226,0.98745,0.43265,0.29884,0.75117,0.88486,0.0017822,0.0017822,0.0017822
13,193.044,0.39029,0.24212,0.49575,0.8782,0.98041,1,0.99412,0.94102,0.98041,1,0.99412,0.97264,0.40456,0.33557,0.73569,0.89431,0.0017624,0.0017624,0.0017624
14,214.012,0.38204,0.26661,0.47469,0.87584,0.99613,1,0.995,0.89581,0.99613,1,0.995,0.90637,0.40583,0.59209,0.68166,0.87566,0.0017426,0.0017426,0.0017426
15,221.403,0.39028,0.2346,0.45673,0.87295,0.99789,1,0.995,0.98293,0.99789,1,0.995,0.92204,0.27632,0.64217,0.4754,0.79204,0.0017228,0.0017228,0.0017228
16,229.208,0.36582,0.22673,0.42067,0.8834,0.99889,1,0.995,0.95939,0.99889,1,0.995,0.95357,0.30216,0.44482,0.45675,0.80036,0.001703,0.001703,0.001703
17,236.638,0.35178,0.21654,0.39908,0.85751,1,0.99837,0.995,0.95346,1,0.99837,0.995,0.93658,0.33359,0.56988,0.47585,0.81978,0.0016832,0.0016832,0.0016832
18,243.588,0.35,0.21939,0.39115,0.86395,0.99719,0.98214,0.99466,0.9522,0.99719,0.98214,0.99466,0.96339,0.2935,0.33064,0.45864,0.79794,0.0016634,0.0016634,0.0016634
