epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1629,0.74541,1.07722,0.87027,0.85164,0.85366,0.91125,0.85872,0.33682,0.56678,0.78215,8.125e-05,8.125e-05,8.125e-05
2,20.9008,0.70031,0.8069,0.85446,0.8648,0.83999,0.91262,0.84102,0.39456,0.5836,0.78938,0.000165409,0.000165409,0.000165409
3,30.3868,0.6611,0.66774,0.84941,0.91875,0.91843,0.97033,0.86436,0.47239,0.472,0.79563,0.000246103,0.000246103,0.000246103
4,38.8164,0.66646,0.61803,0.85222,0.94435,0.94116,0.98006,0.88516,0.42879,0.41244,0.79268,0.000323331,0.000323331,0.000323331
5,47.9485,0.6266,0.5473,0.84342,0.97159,0.95687,0.98643,0.89122,0.43406,0.36746,0.79467,0.000397095,0.000397095,0.000397095
6,58.0019,0.64091,0.53237,0.84446,0.96926,0.94125,0.986,0.90148,0.41702,0.37515,0.79298,0.000467394,0.000467394,0.000467394
7,67.9986,0.62882,0.52478,0.84511,0.96683,0.96313,0.98874,0.89875,0.42388,0.37382,0.79331,0.000534228,0.000534228,0.000534228
8,79.4602,0.64163,0.51924,0.83707,0.97762,0.97479,0.99077,0.90908,0.40443,0.34247,0.78974,0.000538375,0.000538375,0.000538375
9,89.9074,0.63402,0.50328,0.84265,0.98054,0.97887,0.99133,0.90272,0.42003,0.35287,0.79238,0.000526,0.000526,0.000526
10,100.088,0.63374,0.49595,0.84425,0.97408,0.982,0.99053,0.90045,0.42754,0.35459,0.79407,0.000513625,0.000513625,0.000513625
11,110.261,0.63124,0.48761,0.8397,0.98254,0.9843,0.991,0.89417,0.45216,0.33887,0.79442,0.00050125,0.00050125,0.00050125
12,119.791,0.58761,0.45931,0.83563,0.98174,0.98928,0.99181,0.89346,0.43677,0.33114,0.79344,0.000488875,0.000488875,0.000488875
13,129.632,0.62024,0.46664,0.83133,0.98144,0.99061,0.99163,0.90513,0.41776,0.31986,0.79076,0.0004765,0.0004765,0.0004765
14,140.347,0.59792,0.46277,0.84146,0.97784,0.98798,0.99085,0.91042,0.40728,0.32556,0.78832,0.000464125,0.000464125,0.000464125
15,152.015,0.58999,0.45235,0.83022,0.98441,0.98597,0.99119,0.91014,0.40029,0.32004,0.78761,0.00045175,0.00045175,0.00045175
16,162.587,0.60313,0.45165,0.83138,0.98394,0.99083,0.9916,0.91136,0.40535,0.31321,0.78859,0.000439375,0.000439375,0.000439375
17,173.998,0.59832,0.44196,0.83342,0.98603,0.99053,0.9914,0.90067,0.42835,0.31643,0.79202,0.000427,0.000427,0.000427
18,185.184,0.60359,0.44181,0.8402,0.98312,0.99094,0.99083,0.91332,0.39846,0.31293,0.79018,0.000414625,0.000414625,0.000414625
19,197.381,0.60062,0.44078,0.83661,0.98408,0.99027,0.99255,0.88722,0.46834,0.32471,0.79702,0.00040225,0.00040225,0.00040225
20,208.234,0.59624,0.44253,0.83224,0.98554,0.98806,0.99232,0.8873,0.482,0.3219,0.79694,0.000389875,0.000389875,0.000389875
21,218.546,0.59479,0.43364,0.83398,0.98565,0.98897,0.99179,0.91455,0.39188,0.30823,0.78826,0.0003775,0.0003775,0.0003775
22,227.817,0.59538,0.42449,0.83537,0.98495,0.98512,0.99264,0.88474,0.48872,0.32887,0.79854,0.000365125,0.000365125,0.000365125
23,238.329,0.57682,0.42345,0.83561,0.98695,0.99018,0.99265,0.92226,0.3831,0.3016,0.78659,0.00035275,0.00035275,0.00035275
24,247.517,0.56925,0.41056,0.83336,0.98704,0.9876,0.99307,0.91142,0.40407,0.30149,0.78831,0.000340375,0.000340375,0.000340375
25,258.732,0.62145,0.42384,0.83716,0.98961,0.98705,0.99262,0.92167,0.39122,0.29768,0.78744,0.000328,0.000328,0.000328
26,269.236,0.56991,0.40737,0.83613,0.98746,0.98802,0.99285,0.92189,0.3838,0.29397,0.78662,0.000315625,0.000315625,0.000315625
27,279.31,0.56274,0.40885,0.826,0.98532,0.98844,0.99326,0.90999,0.40768,0.29997,0.78944,0.00030325,0.00030325,0.00030325
28,290.658,0.54258,0.39899,0.82705,0.98614,0.98915,0.99287,0.91222,0.40264,0.29889,0.7893,0.000290875,0.000290875,0.000290875
29,301.326,0.56154,0.41355,0.83111,0.98821,0.9895,0.99163,0.91767,0.39187,0.29753,0.7883,0.0002785,0.0002785,0.0002785
30,312.932,0.55765,0.40338,0.82924,0.98788,0.98817,0.99125,0.92151,0.38902,0.29548,0.78683,0.000266125,0.000266125,0.000266125
31,322.678,0.57862,0.41002,0.82745,0.9858,0.99197,0.9917,0.91467,0.39394,0.29678,0.78663,0.00025375,0.00025375,0.00025375
32,332.741,0.56923,0.41053,0.8262,0.98631,0.99167,0.99149,0.91952,0.39453,0.29402,0.78831,0.000241375,0.000241375,0.000241375
